"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.374071042E0,1.525892320E-1,-7.012916565E-2,6.431864128E-2,1.798289777E-1
2.384123042E0,1.212323686E-1,-7.526126683E-2,7.141029060E-2,1.595649557E-1
2.394176042E0,1.164174789E-1,-4.793898225E-2,5.707876503E-2,1.382358884E-1
2.404228042E0,9.876268834E-2,-4.119363427E-3,8.100630239E-2,1.278008560E-1
2.414280042E0,7.002420813E-2,4.128952861E-2,7.520908043E-2,1.107457479E-1
2.424332042E0,1.534017026E-2,4.802084327E-2,3.786364496E-2,6.304742518E-2
2.434384042E0,-3.402085483E-2,6.462635100E-2,-1.958174050E-2,7.561367844E-2
2.444436042E0,-5.584880322E-2,8.249017954E-2,-5.877489612E-2,1.156641991E-1
2.454488042E0,-6.835453570E-2,7.424268186E-2,-7.850705624E-2,1.278580316E-1
2.464540042E0,-7.616203040E-2,4.062353075E-2,-6.724941194E-2,1.094230759E-1
2.474592042E0,-6.108732373E-2,4.309339464E-2,-2.169273153E-2,7.784135394E-2
2.484644042E0,2.184227407E-3,3.948917091E-2,2.919149324E-2,4.915596349E-2
2.494696042E0,6.471815228E-2,1.481509030E-2,4.113793954E-2,7.810413693E-2
2.504748042E0,1.156988561E-1,-2.695098639E-2,5.077897489E-2,1.291939831E-1
2.514801042E0,1.440023035E-1,-8.521556675E-2,6.860187292E-2,1.808440577E-1
2.524853042E0,1.609931427E-1,-1.271178836E-1,2.595871389E-2,2.067646081E-1
2.534905042E0,1.689775157E-1,-1.199924666E-1,2.998218298E-2,2.094051674E-1
2.544957042E0,1.794127491E-1,-1.088353944E-1,1.927753910E-2,2.107266028E-1
2.555009042E0,1.654311794E-1,-8.380112529E-2,1.526298702E-2,1.860727344E-1
2.565061042E0,1.396844271E-1,-7.302996933E-2,1.037252203E-2,1.579642517E-1
2.575113042E0,1.329662687E-1,-5.883936167E-2,-1.816919938E-2,1.465340196E-1
2.585165042E0,1.498232067E-1,-6.124958396E-2,-1.965658486E-2,1.630487231E-1
2.595217042E0,1.469633335E-1,-5.626307845E-2,1.467899635E-2,1.580481835E-1
2.605269042E0,1.484567124E-1,-2.885951757E-2,2.026352584E-2,1.525872789E-1
2.615321042E0,1.409559041E-1,-3.466112494E-2,2.108272076E-2,1.466780202E-1
2.625373042E0,8.320792526E-2,-2.969742358E-2,1.103077233E-2,8.903467713E-2
2.635425042E0,4.451982290E-2,-1.674817979E-2,3.317841724E-2,5.799416805E-2
2.645478042E0,3.103994429E-3,1.333282113E-2,3.139311612E-2,3.424801659E-2
2.655530042E0,-2.154055774E-2,1.510452747E-2,3.778017595E-2,4.603785478E-2
2.665582042E0,-1.531882793E-2,2.796080053E-2,4.562363103E-2,5.565957747E-2
2.675634042E0,-1.683998108E-4,3.507452309E-2,4.206004545E-2,5.476584658E-2
2.685686042E0,1.423855484E-2,4.059487939E-2,7.433024392E-2,8.588169675E-2
2.695738042E0,5.308628619E-2,3.548675179E-2,8.072125062E-2,1.029241645E-1
2.705790042E0,7.024874121E-2,4.057850718E-2,5.320922390E-2,9.701918570E-2
2.715842042E0,8.669900537E-2,1.061795890E-2,4.032532275E-2,9.620597818E-2
2.725894042E0,8.322722107E-2,1.352344036E-2,4.527031302E-2,9.570295193E-2
2.735946042E0,7.935519487E-2,3.105631649E-2,5.342557088E-2,1.005784936E-1
2.745998042E0,7.024494052E-2,4.719814003E-2,8.529742777E-2,1.201568445E-1
